UserID,Name,Email,Password,Phone,UserType,DateOfBirth,Gender,Address,RegistrationDate,LastLogin,UserStatus
1,Sylvia Avila,jeffrey85@hotmail.com,#0UB_q3W^H,18989037521905,admin,1986-07-24,Other,"19256 Brittney Tunnel, North Lisa, Myanmar",2021-05-27,2024-01-16 08:06:28.461459,active
2,Lynn Wheeler,donna97@hotmail.com,(5l1GIh*Yb,5719528562,admin,2005-05-14,Other,"754 Brandon Port Suite 071, Garciaborough, Kenya",2022-04-26,2024-06-15 07:23:17.789128,inactive
3,Mackenzie Lewis,jameswhite@yahoo.com,@ea2QXadQa,,admin,1989-03-19,Male,"730 Mays Way, West Yvonne, Bahamas",2024-09-07,2024-12-05 16:03:33.685064,active
4,Lisa Boyer,samantha80@icloud.com,kt2MJMTz!&,152664866180052,admin,1949-04-18,Male,"230 Rodney Street, Portertown, Seychelles",2022-03-29,2024-09-06 05:09:15.013572,active
5,Amy Roberts,ambersmith@hotmail.com,*2B66ZJg0r,,admin,1949-05-24,Female,"037 Johnson Flats Apt. 386, Alexfurt, Ethiopia",2023-02-01,2024-03-27 04:16:11.795235,inactive
6,James Reynolds,christopherwhite@yahoo.com,%Q2Bcs!NHQ,1767485071044353,admin,1953-02-16,Female,"787 Amy Highway, North Charles, Uzbekistan",2024-01-08,2024-10-09 17:43:19.822241,inactive
7,Alex Brown,xjackson@icloud.com,#v2Q(gAyl9,15332072800720,admin,1981-03-01,Male,"568 Denise Trail Suite 513, Kirbystad, Saint Pierre and Miquelon",2024-02-25,2024-05-16 05:31:19.053468,active
8,Kimberly Hughes,teresa92@hotmail.com,D7IvjMnF%9,9837643478904,admin,2002-07-22,Other,"711 Mcclain Coves Suite 180, Brittanyland, Heard Island and McDonald Islands",2023-10-05,2024-03-21 16:10:45.804713,inactive
9,Angel Nash,christopher89@yahoo.com,)6g(#UeP%F,00176331664008392,admin,1965-02-28,Male,"471 Sara Walks Suite 995, Lake Nicholasborough, Hungary",2024-09-01,2024-02-24 00:39:59.280296,active
10,Andres Berger,timothypowell@outlook.com,R%4QSvz3r^,8214628966145,admin,1955-05-04,Male,"23573 Murphy Divide Suite 037, South Christopherview, New Zealand",2024-06-28,2024-01-20 20:39:48.372096,inactive
11,James Singh,thomasthomas@outlook.com,CNE7HGxx%g,00199989801666103,admin,1967-06-29,Female,"7836 Graves Highway Suite 452, Wheelermouth, Turks and Caicos Islands",2023-01-15,2024-07-03 23:31:25.480219,inactive
12,Paula Ford,kimking@yahoo.com,wsZ^65Tg$j,4166718217150,admin,1966-03-02,Male,"35891 Charles Mission Suite 327, Rodriguezbury, Indonesia",2020-05-03,2024-06-24 04:30:13.322650,active
13,Paige Becker,carrie79@gmail.com,A@c4GCNrl9,3898706897,admin,1967-07-20,Other,"10933 Audrey Cliff, Lake Raystad, Saint Lucia",2020-11-15,2024-02-17 02:57:51.106981,inactive
14,Tanya Williams,ywilliams@hotmail.com,dnroV4Na_d,001470385961801739,admin,1990-08-16,Female,"18892 Garcia Summit, Katherineville, Saint Helena",2024-01-04,2024-12-13 06:20:22.743542,inactive
15,Jodi Levy,rivaserica@yahoo.com,%s31Y(Mati,183192455044840,admin,2002-02-09,Male,"824 Morrison Loaf Apt. 584, Thomasview, Jamaica",2024-01-16,,inactive
16,Benjamin Smith,hkelley@icloud.com,9#37KLck%O,5077227554,admin,1953-08-06,Male,"2055 Davis Plaza, Dixonport, Uganda",2021-04-10,2024-07-16 23:08:35.279509,active
17,Christian Ortiz,qlozano@yahoo.com,)2@Ysl78!X,0017778576236,admin,1959-01-17,Male,"63557 Shannon Cliffs, Reedmouth, Bulgaria",2024-09-11,2024-01-03 06:52:41.538096,active
18,Gabriel Smith,annesalas@icloud.com,FA$S$WcV(3,0014965049316,admin,2002-02-05,,"71913 Dean Forge Apt. 319, Allenborough, Mozambique",2022-05-23,2024-11-22 09:05:10.124985,active
19,Jacqueline Vazquez,michael90@gmail.com,IUA^1I*oV2,17946600431449,admin,1991-10-04,Other,"016 Joseph Crescent, New John, United States of America",2020-08-18,,inactive
20,Noah Harris,rodriguezsteven@outlook.com,0$19eNrfzq,4086888026,admin,1998-03-18,Other,"2435 Deanna Courts, Lake Brandonborough, Lithuania",2021-07-28,2024-10-05 19:50:11.690577,active
21,Melissa Marshall,michaeljackson@yahoo.com,p_!4SoXl!P,481558390246517,host,1962-08-02,Other,"310 Mary Route, North Donaldchester, Gambia",2024-02-24,2024-06-23 19:02:23.060110,inactive
22,Heather Miller,grahammorgan@yahoo.com,*Q94sJNtxP,,host,2001-07-04,Other,"66063 Ariana Grove, Tiffanymouth, Jersey",2022-02-27,2024-02-06 01:06:08.718332,active
23,John Hodges,ffernandez@hotmail.com,%$86oYHr4c,001543718084469763,host,1965-05-19,Female,"755 Thomas Hollow Suite 371, Kellerbury, Egypt",2022-12-06,2024-11-06 17:46:18.729071,inactive
24,Betty Marquez,wrightronald@icloud.com,ygUlDqMB#6,,host,1996-10-25,Female,"64623 Garcia Trafficway Apt. 385, Lake Kaylachester, Hong Kong",2024-10-10,2024-03-19 02:31:54.672553,inactive
